scenario,layout,seed,method,reward,power,predicted_reward,test_wind_speed,test_wind_direction,train_wind_speed_min,train_wind_speed_max,train_wind_direction_min,train_wind_direction_max,n_turbines
Scenario 2,Ormonde_Floris,1,Do-Nothing,353.1181888580322,5455.143190850181,,8.0,270.0,4.6825852394104,9.634140968322754,238.3828887939453,312.3567810058594,30
Scenario 2,Ormonde_Floris,1,Random,353.8094093799591,5466.220247573897,,8.0,270.0,4.6825852394104,9.634140968322754,238.3828887939453,312.3567810058594,30
Scenario 2,Ormonde_Floris,1,GP,354.84955310821533,5482.414180674294,405.05258707933797,8.0,270.0,4.6825852394104,9.634140968322754,238.3828887939453,312.3567810058594,30
Scenario 2,Ormonde_Floris,1,TabPFN-Fallback,354.7278037071228,5480.5969723693515,422.7421680688857,8.0,270.0,4.6825852394104,9.634140968322754,238.3828887939453,312.3567810058594,30
Scenario 2,Ormonde_Floris,1,GraphPFN,353.8487582206726,5466.850729693754,376.2727355957031,8.0,270.0,4.6825852394104,9.634140968322754,238.3828887939453,312.3567810058594,30
Scenario 1,Ormonde_Floris,2,Do-Nothing,353.1181888580322,5455.143190850181,,8.0,270.0,8.0,8.0,270.0,270.0,30
Scenario 1,Ormonde_Floris,2,Random,353.8188397884369,5466.533414770578,,8.0,270.0,8.0,8.0,270.0,270.0,30
Scenario 1,Ormonde_Floris,2,GP,356.66945791244507,5511.060354863752,355.5445480171481,8.0,270.0,8.0,8.0,270.0,270.0,30
Scenario 1,Ormonde_Floris,2,TabPFN-Fallback,355.93033814430237,5499.4630902213885,355.44847863912605,8.0,270.0,8.0,8.0,270.0,270.0,30
Scenario 1,Ormonde_Floris,2,GraphPFN,355.3798339366913,5490.715155422924,354.09320068359375,8.0,270.0,8.0,8.0,270.0,270.0,30
Scenario 2,Ormonde_Floris,2,Do-Nothing,353.1181888580322,5455.143190850181,,8.0,270.0,4.849485397338867,9.33950424194336,216.28810119628906,331.0252990722656,30
Scenario 2,Ormonde_Floris,2,Random,353.8188397884369,5466.533414770578,,8.0,270.0,4.849485397338867,9.33950424194336,216.28810119628906,331.0252990722656,30
Scenario 2,Ormonde_Floris,2,GP,351.32437229156494,5427.492344180417,424.8386925470258,8.0,270.0,4.849485397338867,9.33950424194336,216.28810119628906,331.0252990722656,30
Scenario 2,Ormonde_Floris,2,TabPFN-Fallback,354.91359758377075,5483.6099803065235,438.32758224010456,8.0,270.0,4.849485397338867,9.33950424194336,216.28810119628906,331.0252990722656,30
Scenario 2,Ormonde_Floris,2,GraphPFN,355.6864113807678,5495.592483798743,412.7821044921875,8.0,270.0,4.849485397338867,9.33950424194336,216.28810119628906,331.0252990722656,30
Scenario 1,Turb10_Row1_Floris,0,Do-Nothing,153.96447718143463,803.5031435384899,,8.0,270.0,8.0,8.0,270.0,270.0,10
Scenario 1,Turb10_Row1_Floris,0,Random,159.80546522140503,834.1809742075376,,8.0,270.0,8.0,8.0,270.0,270.0,10
